NO.;DATE;PROUCTION;PANEN
1;2013-01-02; 55.830 ; 20.560 
2;2013-01-03; 105.072 ; 26.290 
3;2013-01-04; 98.748 ; 25.307 
4;2013-01-05; 149.650 ; 19.613 
5;2013-01-07; 86.120 ; 39.735 
6;2013-01-08; 126.840 ; 46.840 
7;2013-01-09; 98.030 ; 48.274 
8;2013-01-10; 113.130 ; 32.760 
9;2013-01-11; 143.201 ; 31.362 
10;2013-01-12; 61.497 ; 28.689 
11;2013-01-14; 86.812 ; 30.254 
12;2013-01-15; 98.870 ; 37.538 
13;2013-01-16; 87.560 ; 40.883 
14;2013-01-17; 132.000 ; 39.385 
15;2013-01-18; 132.820 ; 32.794 
16;2013-01-19; 101.100 ; 24.151 
17;2013-01-21; 11.240 ; 22.801 
18;2013-01-22; 87.160 ; 23.017 
19;2013-01-23; 101.160 ; 22.762 
20;2013-01-24; 5.630 ; 1.612 
21;2013-01-25; 96.080 ; 23.772 
22;2013-01-26; 128.230 ; 33.936 
23;2013-01-28; 105.370 ; 25.404 
24;2013-01-29; 110.850 ; 28.127 
25;2013-01-30; 94.380 ; 24.652 
26;2013-01-31; 125.452 ; 28.344 
27;2013-02-01; 69.400 ; 19.469 
28;2013-02-02; 118.450 ; 22.764 
29;2013-02-04; 103.550 ; 22.440 
30;2013-02-05; 103.550 ; 20.370 
31;2013-02-06; 86.520 ; 23.413 
32;2013-02-07; 89.380 ; 27.461 
33;2013-02-08; 71.770 ; 26.554 
34;2013-02-09; 82.671 ; 23.420 
35;2013-02-11; 107.570 ; 27.877 
36;2013-02-12; 106.010 ; 23.577 
37;2013-02-13; 125.410 ; 22.254 
38;2013-02-14; 86.470 ; 24.801 
39;2013-02-15; 119.380 ; 25.754 
40;2013-02-16; 111.080 ; 20.275 
41;2013-02-18; 110.740 ; 29.328 
42;2013-02-19; 102.850 ; 19.841 
43;2013-02-20; 104.390 ; 18.482 
44;2013-02-21; 103.110 ; 28.827 
45;2013-02-22; 88.920 ; 23.699 
46;2013-02-23; 119.622 ; 34.283 
47;2013-02-25; 100.730 ; 24.273 
48;2013-02-26; 103.700 ; 19.248 
49;2013-02-27; 90.470 ; 23.477 
50;2013-02-28; 89.440 ; 17.404 
51;2013-03-01; 101.160 ; 24.144 
52;2013-03-04; 87.930 ; 16.346 
53;2013-03-05; 141.520 ; 25.202 
54;2013-03-06; 138.510 ; 22.256 
55;2013-03-07; 134.850 ; 30.003 
56;2013-03-08; 105.020 ; 23.788 
57;2013-03-09; 136.610 ; 24.041 
58;2013-03-11; 126.390 ; 27.199 
59;2013-03-13; 119.740 ; 23.232 
60;2013-03-14; 132.640 ; 30.565 
61;2013-03-15; 116.030 ; 27.954 
62;2013-03-16; 159.880 ; 31.929 
63;2013-03-18; 129.290 ; 31.962 
64;2013-03-19; 138.370 ; 23.671 
65;2013-03-20; 143.460 ; 35.306 
66;2013-03-21; 123.490 ; 30.847 
67;2013-03-22; 140.920 ; 30.957 
68;2013-03-23; 124.700 ; 25.695 
69;2013-03-25; 138.050 ; 32.513 
70;2013-03-26; 111.450 ; 32.864 
71;2013-03-27; 108.290 ; 26.650 
72;2013-03-28; 89.250 ; 26.115 
73;2013-03-30; 76.660 ; 15.608 
74;2013-03-31; 117.321 ; 25.574 
75;2013-04-01; 119.357 ; 24.024 
76;2013-04-02; 89.492 ; 29.459 
77;2013-04-03; 90.380 ; 28.957 
78;2013-04-04; 112.880 ; 22.514 
79;2013-04-05; 90.763 ; 34.506 
80;2013-04-06; 120.150 ; 23.506 
81;2013-04-08; 130.809 ; 30.196 
82;2013-04-10; 101.681 ; 24.491 
83;2013-04-11; 103.900 ; 25.386 
84;2013-04-12; 100.122 ; 19.885 
85;2013-04-13; 139.030 ; 27.109 
86;2013-04-15; 126.277 ; 27.795 
87;2013-04-16; 107.921 ; 27.165 
88;2013-04-17; 112.179 ; 26.221 
89;2013-04-18; 125.790 ; 25.821 
90;2013-04-19; 110.760 ; 27.239 
91;2013-04-20; 51.970 ; 14.921 
92;2013-04-22; 127.780 ; 30.321 
93;2013-04-23; 103.140 ; 28.334 
94;2013-04-24; 160.650 ; 28.139 
95;2013-04-25; 105.350 ; 28.608 
96;2013-04-26; 120.720 ; 25.007 
97;2013-04-27; 85.640 ; 19.099 
98;2013-04-29; 90.761 ; 29.158 
99;2013-04-30; 98.026 ; 36.289 
100;2013-05-01; 135.518 ; 32.139 
101;2013-05-02; 131.150 ; 33.589 
102;2013-05-03; 131.293 ; 22.359 
103;2013-05-04; 165.000 ; 31.250 
104;2013-05-06; 107.309 ; 31.834 
105;2013-05-07; 105.180 ; 33.394 
106;2013-05-08; 86.919 ; 27.241 
107;2013-05-09; 80.730 ; 21.628 
108;2013-05-10; 70.004 ; 27.705 
109;2013-05-11; 55.940 ; 8.443 
110;2013-05-13; 64.082 ; 22.597 
111;2013-05-14; 101.920 ; 17.900 
112;2013-05-15; 45.600 ; 21.089 
113;2013-05-16; 51.070 ; 31.612 
114;2013-05-17; 119.170 ; 33.454 
115;2013-05-18; 126.480 ; 30.962 
116;2013-05-20; 98.300 ; 32.480 
117;2013-05-21; 97.530 ; 35.649 
118;2013-05-22; 118.658 ; 36.822 
119;2013-05-23; 87.062 ; 29.062 
120;2013-05-24; 103.220 ; 35.773 
121;2013-05-25; 50.870 ; 5.590 
122;2013-05-27; 85.940 ; 27.936 
123;2013-05-28; 138.646 ; 33.474 
124;2013-05-29; 112.870 ; 28.966 
125;2013-05-30; 109.700 ; 32.152 
126;2013-05-31; 155.439 ; 39.839 
127;2013-06-01; 71.630 ; 41.551 
128;2013-06-03; 85.496 ; 43.238 
129;2013-06-04; 119.080 ; 45.804 
130;2013-06-05; 72.190 ; 39.018 
131;2013-06-06; 48.250 ; 16.900 
132;2013-06-07; 81.770 ; 43.462 
133;2013-06-08; 128.300 ; 38.385 
134;2013-06-10; 82.800 ; 36.952 
135;2013-06-11; 99.600 ; 26.511 
136;2013-06-12; 96.380 ; 41.849 
137;2013-06-13; 88.040 ; 39.290 
138;2013-06-14; 99.650 ; 42.390 
139;2013-06-15; 62.680 ; 30.056 
140;2013-06-17; 82.740 ; 37.376 
141;2013-06-18; 82.790 ; 41.040 
142;2013-06-19; 83.250 ; 45.380 
143;2013-06-20; 132.800 ; 45.355 
144;2013-06-21; 82.440 ; 30.422 
145;2013-06-22; 110.490 ; 42.830 
146;2013-06-24; 125.610 ; 37.568 
147;2013-06-25; 125.530 ; 42.513 
148;2013-06-26; 113.060 ; 44.970 
149;2013-06-27; 109.660 ; 44.688 
150;2013-06-28; 118.660 ; 54.563 
151;2013-06-29; 93.970 ; 43.053 
152;2013-07-01;59.520;26.038
153;2013-07-02;91.660;32.401
154;2013-07-03;126.620;33.647
155;2013-07-04;78.140;27.771
156;2013-07-05;93.970;29.149
157;2013-07-06;66.900;29.329
158;2013-07-08;166.210;31.584
159;2013-07-09;105.940;39.841
160;2013-07-10;141.680;32.236
161;2013-07-11;146.190;23.930
162;2013-07-12;108.910;29.761
163;2013-07-13;100.650;22.500
164;2013-07-15;129.770;35.143
165;2013-07-16;117.090;36.519
166;2013-07-17;148.040;46.691
167;2013-07-18;109.850;46.302
168;2013-07-19;93.790;53.470
169;2013-07-20;87.830;42.626
170;2013-07-22;81.970;32.429
171;2013-07-23;111.320;46.084
172;2013-07-24;96.310;37.981
173;2013-07-25;103.790;37.432
174;2013-07-26;80.010;33.758
175;2013-07-27;128.860;36.608
176;2013-07-29;122.250;39.547
177;2013-07-30;95.480;28.081
178;2013-07-31;118.820;32.661
179;2013-08-01;135.080;40.108
180;2013-08-02;135.030;34.222
181;2013-08-03;228.770;28.905
182;2013-08-05;143.800;28.800
183;2013-08-06;114.090;29.967
184;2013-08-11;49.240;13.780
185;2013-08-12;171.420;35.529
186;2013-08-13;172.020;37.364
187;2013-08-14;169.800;32.150
188;2013-08-15;162.830;45.586
189;2013-08-16;176.520;51.598
190;2013-08-17;191.990;54.719
191;2013-08-19;171.370;43.629
192;2013-08-20;175.810;45.287
193;2013-08-21;134.970;34.528
194;2013-08-22;157.580;46.153
195;2013-08-23;179.010;49.310
196;2013-08-24;248.480;42.227
197;2013-08-26;181.820;41.227
198;2013-08-27;162.380;38.500
199;2013-08-28;176.060;36.466
200;2013-08-29;154.320;42.783
201;2013-08-30;192.950;25.432
202;2013-08-31;158.990;27.170
203;2013-09-02;129.840;37.349
204;2013-09-03;165.790;27.905
205;2013-09-04;203.180;30.949
206;2013-09-05;129.300;24.875
207;2013-09-06;127.420;29.982
208;2013-09-07;217.030;31.864
209;2013-09-09;146.000;28.794
210;2013-09-10;149.920;32.243
211;2013-09-11;133.710;31.137
212;2013-09-12;151.160;27.605
213;2013-09-13;184.590;34.360
214;2013-09-14;174.000;33.756
215;2013-09-16;195.300;38.803
216;2013-09-17;166.070;25.338
217;2013-09-18;178.460;31.285
218;2013-09-19;182.390;34.641
219;2013-09-20;124.110;27.740
220;2013-09-21;160.690;24.816
221;2013-09-23;192.390;30.892
222;2013-09-24;217.260;39.005
223;2013-09-25;223.520;35.572
224;2013-09-26;191.190;39.971
225;2013-09-27;192.000;36.580
226;2013-09-28;187.280;37.522
227;2013-09-30;154.150;39.608
