NO.;DATE;PROUCTION;PANEN
600;2014-12-03;139.180;45.721
601;2014-12-04;153.400;45.325
602;2014-12-05;147.300;52.061
603;2014-12-06;106.680;44.280
604;2014-12-08;154.410;49.482
605;2014-12-09;113.690;47.928
606;2014-12-10;130.640;43.151
607;2014-12-11;126.680;44.155
608;2014-12-12;139.370;51.801
609;2014-12-13;124.100;46.980
610;2014-12-15;137.980;53.172
611;2014-12-16;127.490;42.881
612;2014-12-17;114.970;47.021
613;2014-12-18;143.800;45.235
614;2014-12-19;122.820;51.281
615;2014-12-20;99.850;43.600
616;2014-12-22;114.530;50.652
617;2014-12-23;128.350;47.408
618;2014-12-24;160.940;44.200
619;2014-12-26;139.250;43.290
620;2014-12-27;117.600;43.810
621;2014-12-29;158.650;47.320
622;2014-12-30;160.130;47.970
623;2014-12-31;75.490;37.700
624;2015-01-02;64.080;27.330
625;2015-01-05;115.215;48.110
626;2015-01-06;107.785;37.785
627;2015-01-07;118.905;38.801
628;2015-01-08;136.755;53.610
629;2015-01-09;118.640;43.112
630;2015-01-10;140.860;49.098
631;2015-01-12;155.250;36.790
632;2015-01-13;174.520;59.640
633;2015-01-14;156.490;50.725
634;2015-01-15;157.080;53.751
635;2015-01-16;162.110;55.690
636;2015-01-17;158.110;55.332
637;2015-01-19;149.410;50.398
638;2015-01-20;149.220;50.011
639;2015-01-21;137.650;58.045
640;2015-01-22;131.110;60.001
641;2015-01-23;100.790;42.950
642;2015-01-24;135.570;44.280
643;2015-01-26;125.600;39.388
644;2015-01-27;139.950;44.226
645;2015-01-28;146.730;42.048
646;2015-01-29;121.820;55.302
647;2015-01-30;170.220;56.119
648;2015-01-31;155.780;52.214
649;2015-02-02;139.650;49.660
650;2015-02-03;154.450;46.670
651;2015-02-04;131.440;45.370
652;2015-02-05;100.120;42.250
653;2015-02-06;96.490;37.700
654;2015-02-07;76.581;40.300
655;2015-02-09;153.209;48.490
656;2015-02-10;162.230;47.320
657;2015-02-11;154.600;45.630
658;2015-02-12;182.870;50.050
659;2015-02-13;179.940;46.930
660;2015-02-14;188.040;47.060
661;2015-02-16;169.600;41.210
662;2015-02-17;165.450;33.670
663;2015-02-18;153.640;30.420
664;2015-02-20;214.400;40.040
665;2015-02-21;181.500;38.870
666;2015-02-23;188.530;42.380
667;2015-02-24;189.220;48.620
668;2015-02-25;171.670;57.720
669;2015-02-26;212.870;43.160
670;2015-02-27;199.780;45.110
671;2015-02-28;151.890;42.120
672;2015-03-02;168.740;43.420
673;2015-03-03;174.770;47.580
674;2015-03-04;191.310;50.180
675;2015-03-05;151.320;46.930
676;2015-03-06;159.110;34.450
677;2015-03-07;107.780;35.230
678;2015-03-09;198.300;49.530
679;2015-03-10;237.060;47.580
680;2015-03-11;209.520;43.680
681;2015-03-12;189.360;44.850
682;2015-03-13;190.370;31.460
683;2015-03-14;157.420;26.780
684;2015-03-16;218.181;47.710
685;2015-03-17;182.328;50.440
686;2015-03-18;183.213;43.160
687;2015-03-19;182.891;48.230
688;2015-03-20;180.457;49.270
689;2015-03-23;197.010;56.680
690;2015-03-24;208.940;55.120
691;2015-03-25;198.420;55.510
692;2015-03-26;201.690;52.910
693;2015-03-27;191.190;45.500
694;2015-03-28;199.550;40.820
695;2015-03-29;97.280;7.150
696;2015-03-30;164.740;46.150
697;2015-03-31;141.190;39.260
698;2015-04-01;196.130;52.910
699;2015-04-02;195.210;55.120
700;2015-04-04;252.570;51.610
701;2015-04-06;264.310;45.890
702;2015-04-07;181.750;37.310
703;2015-04-08;170.900;37.180
704;2015-04-09;161.760;51.350
705;2015-04-10;204.670;34.190
706;2015-04-11;141.360;42.120
707;2015-04-13;122.200;36.140
708;2015-04-14;89.360;31.590
709;2015-04-15;168.100;38.350
710;2015-04-16;150.040;34.450
711;2015-04-17;180.320;45.630
712;2015-04-18;159.390;40.040
713;2015-04-19;94.880;7.280
714;2015-04-20;203.580;54.600
715;2015-04-21;200.190;49.010
716;2015-04-22;173.310;36.140
717;2015-04-23;156.710;32.240
718;2015-04-24;219.260;36.920
719;2015-04-25;165.940;36.660
720;2015-04-27;236.370;42.055
721;2015-04-28;189.960;38.285
722;2015-04-29;165.260;39.650
723;2015-04-30;138.020;35.750
724;2015-05-02;178.440;43.550
725;2015-05-04;178.060;43.940
726;2015-05-05;216.530;43.810
727;2015-05-06;240.780;23.270
728;2015-05-07;138.070;32.760
729;2015-05-08;220.310;43.810
730;2015-05-09;139.330;51.220
731;2015-05-11;250.610;46.930
732;2015-05-12;168.170;31.980
733;2015-05-13;166.590;34.840
734;2015-05-16;280.610;29.380
735;2015-05-17;86.740;7.280
736;2015-05-18;229.920;44.980
737;2015-05-19;194.000;49.140
738;2015-05-20;203.320;38.480
739;2015-05-21;200.690;44.200
740;2015-05-22;189.240;55.380
741;2015-05-23;107.370;41.990
742;2015-05-25;207.760;55.120
743;2015-05-26;214.240;58.500
744;2015-05-27;185.500;63.310
745;2015-05-28;162.390;59.670
746;2015-05-29;182.890;54.340
747;2015-05-30;117.270;57.070
748;2015-06-01;143.410;56.160
749;2015-06-03;152.700;59.410
750;2015-06-04;182.310;57.980
751;2015-06-05;159.100;58.630
752;2015-06-06;160.750;57.200
753;2015-06-08;136.420;31.330
754;2015-06-09;152.500;43.680
755;2015-06-10;180.560;41.860
756;2015-06-11;145.100;41.990
757;2015-06-12;152.360;37.830
758;2015-06-13;138.770;38.350
759;2015-06-15;215.440;43.680
760;2015-06-16;196.950;41.210
761;2015-06-17;180.160;40.560
762;2015-06-18;116.110;36.530
763;2015-06-19;193.250;39.260
764;2015-06-20;193.090;38.610
765;2015-06-21;217.900;14.430
766;2015-06-22;173.730;37.440
767;2015-06-23;182.000;44.330
768;2015-06-24;172.450;42.510
769;2015-06-25;186.630;48.490
770;2015-06-26;129.430;51.480
771;2015-06-27;140.490;59.800
772;2015-06-28;205.870;22.230
773;2015-06-29;115.600;55.380
774;2015-06-30;149.770;43.290
775;2015-07-01;156.840;42.640
776;2015-07-02;168.090;43.940
777;2015-07-03;194.030;42.770
778;2015-07-04;135.630;43.810
779;2015-07-05;209.770;20.410
780;2015-07-06;123.330;41.730
781;2015-07-07;197.220;43.810
782;2015-07-08;98.300;32.500
783;2015-07-09;170.400;40.300
784;2015-07-10;149.170;35.490
785;2015-07-11;172.820;44.590
786;2015-07-12;116.220;15.340
787;2015-07-13;140.410;35.750
788;2015-07-14;148.120;34.190
789;2015-07-15;138.330;27.300
790;2015-07-20;257.400;16.770
791;2015-07-21;186.540;33.150
792;2015-07-22;134.410;30.420
793;2015-07-23;193.540;35.360
794;2015-07-24;207.670;34.320
795;2015-07-25;250.170;31.460
796;2015-07-26;195.960;15.210
797;2015-07-27;197.200;31.070
798;2015-07-28;174.860;35.880
799;2015-07-29;181.210;32.500
800;2015-07-30;233.220;30.940
801;2015-07-31;209.440;34.320
802;2015-08-01;187.070;39.780
803;2015-08-02;201.260;14.170
804;2015-08-03;258.050;35.620
805;2015-08-04;164.490;31.590
806;2015-08-05;288.200;33.280
807;2015-08-06;272.290;35.360
808;2015-08-07;185.230;32.110
809;2015-08-08;161.620;31.590
810;2015-08-09;81.680;5.460
811;2015-08-10;228.790;30.680
812;2015-08-11;142.550;31.551
813;2015-08-12;218.470;38.870
814;2015-08-13;229.780;34.359
815;2015-08-14;274.440;36.270
816;2015-08-15;217.440;40.560
817;2015-08-16;357.020;14.300
818;2015-08-18;253.250;40.430
819;2015-08-19;223.090;47.580
820;2015-08-20;230.560;39.000
821;2015-08-21;227.520;30.940
822;2015-08-22;194.020;38.740
823;2015-08-23;201.120;13.260
824;2015-08-24;290.230;39.390
825;2015-08-25;287.570;39.390
826;2015-08-26;248.810;47.710
827;2015-08-27;231.200;49.140
828;2015-08-28;230.800;44.330
829;2015-08-29;238.520;45.890
830;2015-08-30;310.890;28.080
831;2015-08-31;140.400;49.530
832;2015-09-01;217.320;49.920
833;2015-09-02;176.920;54.860
834;2015-09-03;220.860;55.900
835;2015-09-04;188.110;50.960
836;2015-09-05;198.950;59.020
837;2015-09-07;250.010;59.670
838;2015-09-08;219.730;56.290
839;2015-09-09;166.560;47.450
840;2015-09-10;200.750;50.570
841;2015-09-11;221.400;52.780
842;2015-09-12;222.580;46.410
843;2015-09-13;219.330;13.780
844;2015-09-14;136.300;46.410
845;2015-09-15;218.360;50.180
846;2015-09-16;254.820;50.700
847;2015-09-17;213.460;51.740
848;2015-09-18;271.110;50.570
849;2015-09-19;245.200;38.090
850;2015-09-20;252.780;17.290
851;2015-09-21;145.900;52.650
852;2015-09-22;236.520;54.080
853;2015-09-23;223.120;54.470
854;2015-09-24;26.590;3.120
855;2015-09-25;231.480;54.600
856;2015-09-26;216.630;65.780
857;2015-09-27;283.060;30.680
858;2015-09-28;127.260;56.810
859;2015-09-29;211.250;67.990
860;2015-09-30;171.280;60.320
861;2015-10-01;184.570;55.770
862;2015-10-02;210.710;56.810
863;2015-10-03;175.270;45.370
864;2015-10-05;174.690;52.780
865;2015-10-06;193.550;55.770
866;2015-10-07;182.010;62.010
867;2015-10-08;165.860;55.510
868;2015-10-09;145.960;54.470
869;2015-10-10;130.610;57.330
870;2015-10-12;126.370;50.700
871;2015-10-13;168.000;53.690
872;2015-10-15;170.700;67.210
873;2015-10-16;152.970;69.810
874;2015-10-17;156.060;64.870
875;2015-10-19;154.160;62.400
876;2015-10-20;146.220;59.800
877;2015-10-21;137.820;62.920
878;2015-10-22;167.220;67.860
879;2015-10-23;150.200;63.050
880;2015-10-24;150.990;58.630
881;2015-10-26;168.830;56.940
882;2015-10-27;203.610;57.720
883;2015-10-28;115.510;44.980
884;2015-10-29;194.530;59.410
885;2015-10-30;186.070;54.080
886;2015-10-31;157.230;50.570
887;2015-11-02;255.770;53.300
888;2015-11-03;226.670;53.820
889;2015-11-04;184.210;55.770
890;2015-11-05;209.350;70.330
891;2015-11-06;212.570;57.980
892;2015-11-07;140.910;50.310
893;2015-11-09;160.690;56.290
894;2015-11-10;139.550;55.640
895;2015-11-11;153.980;64.350
896;2015-11-12;160.650;77.350
897;2015-11-13;148.920;71.370
898;2015-11-14;134.760;65.390
899;2015-11-16;149.340;68.120
900;2015-11-17;124.040;55.250
901;2015-11-18;151.160;61.230
902;2015-11-19;160.100;75.140
903;2015-11-20;148.360;62.660
904;2015-11-21;150.140;61.490
905;2015-11-23;152.510;68.120
906;2015-11-24;107.250;61.620
907;2015-11-25;119.310;62.400
908;2015-11-26;113.810;78.130
909;2015-11-27;111.560;66.040
910;2015-11-28;113.160;64.740
911;2015-11-30;114.780;60.450
912;2015-12-01;106.680;56.940
913;2015-12-02;121.310;60.580
914;2015-12-03;118.220;65.390
915;2015-12-04;128.200;67.470
916;2015-12-05;78.590;49.920
917;2015-12-07;145.510;70.330
918;2015-12-08;140.080;61.620
919;2015-12-10;142.950;63.440
920;2015-12-11;149.540;69.940
921;2015-12-12;167.480;66.300
922;2015-12-14;149.110;71.110
923;2015-12-15;218.170;64.480
924;2015-12-16;159.220;51.740
925;2015-12-17;137.390;62.790
926;2015-12-18;178.160;67.990
927;2015-12-19;147.790;69.550
928;2015-12-21;160.100;71.760
929;2015-12-22;165.110;70.070
930;2015-12-23;123.400;73.580
931;2015-12-26;123.200;60.320
932;2015-12-28;157.980;67.990
933;2015-12-29;162.250;69.550
934;2015-12-30;146.130;66.690
935;2015-12-31;94.900;54.340
936;2016-01-02;55.530;24.570
937;2016-01-04;175.160;56.940
938;2016-01-05;176.520;52.910
939;2016-01-06;136.130;59.280
940;2016-01-07;150.280;58.370
941;2016-01-08;153.600;54.340
942;2016-01-09;107.470;43.030
943;2016-01-11;171.190;59.800
944;2016-01-12;142.710;55.900
945;2016-01-13;102.310;49.920
